,board_sizes,fitness_function,penalty_function,allowed_plateau_steps,plateau_tolerance,fitness_evals,fitness_values,num_knights,num_covered_squares,solutions,algorithm
22093,5,fitness_space_pso_paper,,100,0.1,93,5,5,25,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0],StochasticHillclimb
22094,5,fitness_space_pso_paper,,100,0.1,94,6,4,24,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],StochasticHillclimb
22095,5,fitness_space_pso_paper,,100,0.1,95,5,5,25,[0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],StochasticHillclimb
22096,5,fitness_space_pso_paper,,100,0.1,96,6,4,24,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],StochasticHillclimb
22097,5,fitness_space_pso_paper,,100,0.1,97,5,5,25,[0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],StochasticHillclimb
22098,5,fitness_space_pso_paper,,100,0.1,98,6,4,24,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],StochasticHillclimb
22099,5,fitness_space_pso_paper,,100,0.1,99,5,5,25,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0],StochasticHillclimb
22100,5,fitness_space_pso_paper,,100,0.1,100,6,4,24,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0],StochasticHillclimb
22101,5,fitness_space_pso_paper,,100,0.1,101,5,5,25,[0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0],StochasticHillclimb
22102,5,fitness_space_pso_paper,,100,0.1,102,6,4,24,[0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0],StochasticHillclimb
22103,5,fitness_space_pso_paper,,100,0.1,103,5,5,25,[0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0],StochasticHillclimb
22104,5,fitness_space_pso_paper,,100,0.1,104,6,4,24,[0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0],StochasticHillclimb
22105,5,fitness_space_pso_paper,,100,0.1,105,5,5,25,[0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0],StochasticHillclimb
22106,5,fitness_space_pso_paper,,100,0.1,106,6,4,24,[0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0],StochasticHillclimb
22107,5,fitness_space_pso_paper,,100,0.1,107,5,5,25,[0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0],StochasticHillclimb
22108,5,fitness_space_pso_paper,,100,0.1,108,6,4,24,[0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0],StochasticHillclimb
22109,5,fitness_space_pso_paper,,100,0.1,109,5,5,25,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0],StochasticHillclimb
22110,5,fitness_space_pso_paper,,100,0.1,110,6,4,24,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0],StochasticHillclimb
22111,5,fitness_space_pso_paper,,100,0.1,111,5,5,25,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0],StochasticHillclimb
22112,5,fitness_space_pso_paper,,100,0.1,112,6,4,24,[0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0],StochasticHillclimb
22113,5,fitness_space_pso_paper,,100,0.1,113,5,5,25,[0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0],StochasticHillclimb
22114,5,fitness_space_pso_paper,,100,0.1,114,6,4,24,[0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0],StochasticHillclimb
22115,5,fitness_space_pso_paper,,100,0.1,115,5,5,25,[1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0],StochasticHillclimb
22116,5,fitness_space_pso_paper,,100,0.1,116,6,4,24,[1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0],StochasticHillclimb
22117,5,fitness_space_pso_paper,,100,0.1,117,5,5,25,[1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0],StochasticHillclimb
22118,5,fitness_space_pso_paper,,100,0.1,118,6,4,24,[0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0],StochasticHillclimb
22119,5,fitness_space_pso_paper,,100,0.1,119,5,5,25,[1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0],StochasticHillclimb
22120,5,fitness_space_pso_paper,,100,0.1,120,6,4,24,[0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0],StochasticHillclimb
22121,5,fitness_space_pso_paper,,100,0.1,121,5,5,25,[0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0],StochasticHillclimb
